Category: All categories

Day,Combined Graduate Level Examination: (India),NDA Exam: (India),REET: (India),CSIR UGC NET: (India),UGC NET: (India)
2025-07-02,90,9,16,6,18
2025-07-03,94,9,17,5,19
2025-07-04,100,8,18,5,17
2025-07-05,58,8,16,5,17
2025-07-06,47,8,14,4,44
2025-07-07,52,9,17,5,33
2025-07-08,55,9,18,6,24
2025-07-09,58,8,17,5,19
2025-07-10,70,7,15,5,18
2025-07-11,72,7,15,6,19
