name,google_trends_keywords,geo,category_code
SSC CGL,/g/11c265kd70,IN,SSC
NDA,/g/11c7hh8pj1,IN,UPSC
REET,/g/11gxpsg25n,IN,RJ
CSIR NET,/g/11h202nt7_,IN,CSIR
UGC NET,/m/0bgpq0,IN,UGC
